Time,EdgeID,Speed,Occupancy
82.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_7,13.41,0.0
82.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
82.0,375012288#1,13.282330802941278,0.08529512111907199
82.0,-117446409#2,11.18,0.0
82.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,12.49,0.0
82.0,375012288#5,12.370386952094007,0.025887956922439684
82.0,425002736#1,13.41,0.012832188158876821
82.0,-117446409#3,11.18,0.0
82.0,-117446409#4,11.18,0.0
82.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
82.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,11.6,0.0
82.0,111782596#2,11.341376346406694,0.029219261337073397
82.0,:cluster_49555756_9005168266_3,13.41,0.0
82.0,130451981#3,13.41,0.0
82.0,130451981#2,13.41,0.0
82.0,375012288#0,13.741951350561173,0.07372456502506636
82.0,399093877#1,13.330598978673812,0.20596500220348296
82.0,455277311#1,11.27649336384087,0.07850413930916357
82.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_21,6.95,0.0
82.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_13,3.6472424630101408,0.25536261491317674
82.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,8.27,0.0
82.0,:cluster_11592056388_1266252701_49470095_9152246641_1,9.62,0.0
82.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_1,13.41,0.0
82.0,947448834#1,12.906587489535562,0.025885276454752536
83.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_7,13.41,0.0
83.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
83.0,375012288#1,13.03674406390316,0.08529512111907199
83.0,-117446409#2,11.18,0.0
83.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,12.49,0.0
83.0,375012288#5,13.41,0.0
83.0,425002736#1,13.41,0.0
83.0,-117446409#3,11.18,0.0
83.0,-117446409#4,11.18,0.0
83.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
83.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,11.6,0.0
83.0,111782596#2,13.41,0.0
83.0,:cluster_49555756_9005168266_3,13.41,0.0
83.0,130451981#3,13.41,0.0
83.0,130451981#2,13.41,0.0
83.0,375012288#0,13.41,0.0
83.0,399093877#1,11.363330338519317,0.2263995609220637
83.0,455277311#1,12.205469134300671,0.06693075839532886
83.0,:cluster_1245504056_4787507113_49454997_5674123833_#2more_12,8.648240723937379,0.15395526585251762
83.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_21,6.95,1.1545653778543161
83.0,:cluster_1323073964_49486845_9005168278_9005168279_#4more_13,6.95,0.026760808525338714
83.0,:cluster_1266252708_9152246649_9152246652_9338705811_#2more_6,7.622321103301866,0.3295978905735003
83.0,:cluster_11592056388_1266252701_49470095_9152246641_1,9.62,0.0
83.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_1,13.41,0.0
83.0,947448834#1,8.898658082004056,0.0315076794837123
84.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_7,13.285269917381509,0.10191602119853241
84.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_11,11.88,0.0
84.0,375012288#1,13.41,0.0
84.0,-117446409#2,11.18,0.0
84.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_4,11.264671612838663,0.17940932928512285
84.0,375012288#5,13.41,0.0
84.0,425002736#1,13.41,0.0
84.0,-117446409#3,11.18,0.0
84.0,-117446409#4,11.18,0.0
84.0,:cluster_49564618_659637759_9005168270_9005168271_#4more_9,11.88,0.0
84.0,:cluster_1266252704_49470093_5674124717_5674124718_#11more_17,11.6,0.0
84.0,111782596#2,13.41,0.0
84.0,:cluster_49555756_9005168266_3,13.41,0.0
84.0,130451981#3,13.41,0.0
